titulo,autores,ano,resumo,link
Cascade Speculative Drafting for Even Faster LLM Inference,Ziyi Chen; Xiaocong Yang; Jiacheng Lin; Chenkai Sun; Kevin Chen-Chuan Chang,2023,"Introduced to enhance the efficiency of large language model (LLM) inference, speculative decoding operates by having a smaller model generate a draft. A larger target model then reviews this draft to align with its output, and any acceptance by the target model results in a reduction of the number of the target model runs, ultimately improving efficiency. However, the drafting process in speculative decoding includes slow autoregressive generation and allocates equal time to generating tokens, ",http://arxiv.org/abs/2312.11462v5
Combining TSL and LLM to Automate REST API Testing: A Comparative Study,Thiago Barradas; Aline Paes; Vânia de Oliveira Neves,2025,"The effective execution of tests for REST APIs remains a considerable challenge for development teams, driven by the inherent complexity of distributed systems, the multitude of possible scenarios, and the limited time available for test design. Exhaustive testing of all input combinations is impractical, often resulting in undetected failures, high manual effort, and limited test coverage. To address these issues, we introduce RestTSLLM, an approach that uses Test Specification Language (TSL) i",http://arxiv.org/abs/2509.05540v1
"Implicit Identity Technologies for LLMs: Fingerprinting and Watermarking across Datasets, Models, and Generated Content",Bing Liu; Shunping Wang; Yufan Zhu; Xinyi Yu; Jing Huang,2026,"This paper presents a survey and taxonomy of LLM fingerprinting and watermarking for identity, ownership verification, provenance, and generated-content attribution. Large language models (LLMs) require substantial investments in data, computation, and expertise, and are increasingly deployed in high-stakes settings, making it critical to protect LLM-related assets and trace their origins. Existing work has rapidly expanded across dataset provenance, model ownership, and generated-content detect",http://arxiv.org/abs/2605.29245v2
Data Driven Optimization of GPU efficiency for Distributed LLM Adapter Serving,Ferran Agullo; Joan Oliveras; Chen Wang; Alberto Gutierrez-Torre; Olivier Tardieu,2026,"Large Language Model (LLM) adapters enable low-cost model specialization, but introduce complex caching and scheduling challenges in distributed serving systems where hundreds of adapters must be hosted concurrently. While prior work has largely focused on latency minimization, resource efficiency through throughput maximization remains underexplored. This paper presents a data-driven pipeline that, for a given workload, computes an adapter placement that serves the workload with the minimum num",http://arxiv.org/abs/2602.24044v1
LLMs vs. Traditional Sentiment Tools in Psychology: An Evaluation on Belgian-Dutch Narratives,Ratna Kandala; Katie Hoemann,2025,"Understanding emotional nuances in everyday language is crucial for computational linguistics and emotion research. While traditional lexicon-based tools like LIWC and Pattern have served as foundational instruments, Large Language Models (LLMs) promise enhanced context understanding. We evaluated three Dutch-specific LLMs (ChocoLlama-8B-Instruct, Reynaerde-7B-chat, and GEITje-7B-ultra) against LIWC and Pattern for valence prediction in Flemish, a low-resource language variant. Our dataset compr",http://arxiv.org/abs/2511.07641v1
SuperCorrect: Advancing Small LLM Reasoning with Thought Template Distillation and Self-Correction,Ling Yang; Zhaochen Yu; Tianjun Zhang; Minkai Xu; Joseph E. Gonzalez,2024,"Large language models (LLMs) like GPT-4, DeepSeek-R1, and ReasonFlux have shown significant improvements in various reasoning tasks. However, smaller LLMs still struggle with complex mathematical reasoning because they fail to effectively identify and correct reasoning errors. Recent reflection-based methods aim to address these issues by enabling self-reflection and self-correction, but they still face challenges in independently detecting errors in their reasoning steps. To overcome these limi",http://arxiv.org/abs/2410.09008v3
Bi-directional Model Cascading with Proxy Confidence,David Warren; Mark Dras,2025,"Model Cascading, recently applied successfully to LLMs, is a simple but powerful technique that improves the efficiency of inference by selectively applying models of varying sizes. Models are used in sequence from smallest to largest, only deferring samples to large, costly models when smaller models are not sufficiently confident. Existing approaches to deferral use only limited small model confidence estimates because of the inaccessibility of the large model, although large model confidence ",http://arxiv.org/abs/2504.19391v2
SlimPajama-DC: Understanding Data Combinations for LLM Training,Zhiqiang Shen; Tianhua Tao; Liqun Ma; Willie Neiswanger; Zhengzhong Liu,2023,"This paper aims to understand the impacts of various data combinations (e.g., web text, Wikipedia, GitHub, books) on the pretraining of large language models using SlimPajama. SlimPajama is a rigorously deduplicated, multi-source dataset, which has been refined and further deduplicated to 627B tokens from the extensive 1.2T token RedPajama dataset contributed by Together. We have termed our research as SlimPajama-DC, an empirical analysis designed to uncover fundamental characteristics and best ",http://arxiv.org/abs/2309.10818v3
Beyond Binary: Towards Fine-Grained LLM-Generated Text Detection via Role Recognition and Involvement Measurement,Zihao Cheng; Li Zhou; Feng Jiang; Benyou Wang; Haizhou Li,2024,"The rapid development of large language models (LLMs), like ChatGPT, has resulted in the widespread presence of LLM-generated content on social media platforms, raising concerns about misinformation, data biases, and privacy violations, which can undermine trust in online discourse. While detecting LLM-generated content is crucial for mitigating these risks, current methods often focus on binary classification, failing to address the complexities of real-world scenarios like human-LLM collaborat",http://arxiv.org/abs/2410.14259v2
RADAR: Mechanistic Pathways for Detecting Data Contamination in LLM Evaluation,Ashish Kattamuri; Harshwardhan Fartale; Arpita Vats; Rahul Raja; Ishita Prasad,2025,"Data contamination poses a significant challenge to reliable LLM evaluation, where models may achieve high performance by memorizing training data rather than demonstrating genuine reasoning capabilities. We introduce RADAR (Recall vs. Reasoning Detection through Activation Representation), a novel framework that leverages mechanistic interpretability to detect contamination by distinguishing recall-based from reasoning-based model responses. RADAR extracts 37 features spanning surface-level con",http://arxiv.org/abs/2510.08931v1
Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,Miao Xiong; Zhiyuan Hu; Xinyang Lu; Yifei Li; Jie Fu,2023,"Empowering large language models to accurately express confidence in their answers is essential for trustworthy decision-making. Previous confidence elicitation methods, which primarily rely on white-box access to internal model information or model fine-tuning, have become less suitable for LLMs, especially closed-source commercial APIs. This leads to a growing need to explore the untapped area of black-box approaches for LLM uncertainty estimation. To better break down the problem, we define a",http://arxiv.org/abs/2306.13063v2
On the Difficulty of Selecting Few-Shot Examples for Effective LLM-based Vulnerability Detection,Md Abdul Hannan; Ronghao Ni; Chi Zhang; Limin Jia; Ravi Mangal,2025,"Large language models (LLMs) have demonstrated impressive capabilities across a wide range of coding tasks, including summarization, translation, completion, and code generation. Despite these advances, detecting code vulnerabilities remains a challenging problem for LLMs. In-context learning (ICL) has emerged as an effective mechanism for improving model performance by providing a small number of labeled examples within the prompt. Prior work has shown, however, that the effectiveness of ICL de",http://arxiv.org/abs/2510.27675v2
TPI-LLM: Serving 70B-scale LLMs Efficiently on Low-resource Edge Devices,Zonghang Li; Wenjiao Feng; Mohsen Guizani; Hongfang Yu,2024,"Large model inference is shifting from cloud to edge due to concerns about the privacy of user interaction data. However, edge devices often struggle with limited computing power, memory, and bandwidth, requiring collaboration across multiple devices to run and speed up LLM inference. Pipeline parallelism, the mainstream solution, is inefficient for single-user scenarios, while tensor parallelism struggles with frequent communications. In this paper, we argue that tensor parallelism can be more ",http://arxiv.org/abs/2410.00531v1
A Cascading Failure Model by Quantifying Interactions,Junjian Qi; Shengwei Mei,2013,Cascading failures triggered by trivial initial events are encountered in many complex systems. It is the interaction and coupling between components of the system that causes cascading failures. We propose a simple model to simulate cascading failure by using the matrix that determines how components interact with each other. A careful comparison is made between the original cascades and the simulated cascades by the proposed model. It is seen that the model can capture general features of the ,http://arxiv.org/abs/1301.2055v4
Cascading Bandits: Learning to Rank in the Cascade Model,Branislav Kveton; Csaba Szepesvari; Zheng Wen; Azin Ashkan,2015,"A search engine usually outputs a list of $K$ web pages. The user examines this list, from the first web page to the last, and chooses the first attractive page. This model of user behavior is known as the cascade model. In this paper, we propose cascading bandits, a learning variant of the cascade model where the objective is to identify $K$ most attractive items. We formulate our problem as a stochastic combinatorial partial monitoring problem. We propose two algorithms for solving it, Cascade",http://arxiv.org/abs/1502.02763v2
"Automating Venture Capital: Founder assessment using LLM-powered segmentation, feature engineering and automated labeling techniques",Ekin Ozince; Yiğit Ihlamur,2024,"This study explores the application of large language models (LLMs) in venture capital (VC) decision-making, focusing on predicting startup success based on founder characteristics. We utilize LLM prompting techniques, like chain-of-thought, to generate features from limited data, then extract insights through statistics and machine learning. Our results reveal potential relationships between certain founder characteristics and success, as well as demonstrate the effectiveness of these character",http://arxiv.org/abs/2407.04885v1
Node Disjoint Multipath Routing Considering Link and Node Stability protocol: A characteristic Evaluation,Shuchita Upadhayaya; Charu Gandhi,2010,"Mobile Ad hoc Networks are highly dynamic networks. Quality of Service (QoS) routing in such networks is usually limited by the network breakage due to either node mobility or energy depletion of the mobile nodes. Also, to fulfill certain quality parameters, presence of multiple node-disjoint paths becomes essential. Such paths aid in the optimal traffic distribution and reliability in case of path breakages. Thus, to cater various challenges in QoS routing in Mobile Add hoc Networks, a Node Dis",http://arxiv.org/abs/1002.1162v1
The Four Principles of Geographic Routing,Aubin Jarry,2014,"Geographic routing consists in using the position information of nodes to assist in the routing process, and has been a widely studied subject in sensor networks. One of the outstanding challenges facing geographic routing has been its applicability. Authors either make some broad assumptions on an idealized version of wireless networks which are often unverifiable, or they use costly methods to planarize the communication graph.   The overarching questions that drive us are the following. When,",http://arxiv.org/abs/1403.3007v3
Realistic Approach towards Quantitative Analysis and Simulation of EEHC-Based Routing for Wireless Sensor Networks,Manju Sharma; Lalit Awasthi,2010,"This paper presents the realistic approach towards the quantitative analysis and simulation of Energy Efficient Hierarchical Cluster (EEHC)-based routing for wireless sensor networks. Here the efforts have been done to combine analytical hardware model with the modified EEHC-based routing model. The dependence of various performance metrics like: optimum number of clusters, Energy Consumption, and Energy consumed per round etc. based on analytical hardware sensor model and EEHC model has been pr",http://arxiv.org/abs/1002.1151v1
Bridging On-Device and Cloud LLMs for Collaborative Reasoning: A Unified Methodology for Local Routing and Post-Training,Wenzhi Fang; Dong-Jun Han; Liangqi Yuan; Evan Chen; Christopher Brinton,2025,"Device-cloud collaboration holds promise for deploying large language models (LLMs), leveraging lightweight on-device models for efficiency while relying on powerful cloud models for superior reasoning. A central challenge in this setting is determining, for each incoming query, whether it should be processed locally or offloaded to the cloud. Existing approaches typically rely on external routers, which often struggle to determine difficulty from the prompt itself, especially for tasks involvin",http://arxiv.org/abs/2509.24050v4
Learning to Route Electric Trucks Under Operational Uncertainty,Stavros Orfanoudakis; Ziyan Li; Ruixiao Yang; Nikolay Aristov; Pedro P. Vergara,2026,"Electric truck operations require routing decisions that remain feasible under limited battery range, long charging times, travel and energy consumption, and competition for shared charging infrastructure. These features make electric truck routing a coupled logistics and energy problem, limiting the practicality of heuristics-based methods and rendering them computationally infeasible at scale. This paper proposes a learning-based framework for the stochastic electric truck routing under chargi",http://arxiv.org/abs/2604.26566v1
Rules in Play: On the Complexity of Routing Tables and Firewalls,Mohit Wadhwa; Ambar Pal; Ayush Shah; Paritosh Mittal; H. B. Acharya,2015,"A fundamental component of networking infras- tructure is the policy, used in routing tables and firewalls. Accordingly, there has been extensive study of policies. However, the theory of such policies indicates that the size of the decision tree for a policy is very large ( O((2n)d), where the policy has n rules and examines d features of packets). If this was indeed the case, the existing algorithms to detect anomalies, conflicts, and redundancies would not be tractable for practical policies ",http://arxiv.org/abs/1510.07880v1
"A Performance Comparison of Stability, Load-Balancing and Power-Aware Routing Protocols for Mobile Ad Hoc Networks",Natarajan Meghanathan; Leslie Milton,2010,"The high-level contribution of this paper is a simulation-based detailed performance comparison of three different classes of routing protocols for mobile ad hoc networks: stability-based routing, power-aware routing and load-balanced routing. We choose the Flow-Oriented Routing protocol (FORP), the traffic interference based Load Balancing Routing (LBR) protocol and Min-Max Battery Cost Routing (MMBCR) as representatives of the stability-based routing, load-balancing and power-aware routing pro",http://arxiv.org/abs/1007.0409v1
A Wolf in Sheep's Clothing: Targeted Routing Hijacking in Federated RAG,Junjie Mu; Qiongxiu Li,2026,"Federated Retrieval-Augmented Generation (FedRAG) is attractive for privacy-sensitive applications because raw data remain local. As a result, routing must rely on client-provided semantic profiles, creating a new opportunity for manipulation. We introduce Routing Hijacking, a routing-stage attack in which a malicious client forges its profile to attract target queries despite having irrelevant underlying data. We show that this vulnerability is severe. Across three representative FedRAG routing",http://arxiv.org/abs/2605.28112v1
"Detection Is Cheap, Routing Is Learned: Why Refusal-Based Alignment Evaluation Fails",Gregory N. Frank,2026,"Current alignment evaluation mostly measures whether models encode dangerous concepts and whether they refuse harmful requests. Both miss the layer where alignment often operates: routing from concept detection to behavioral policy. We study political censorship in Chinese-origin language models as a natural experiment, using probes, surgical ablations, and behavioral tests across nine open-weight models from five labs. Three findings follow. First, probe accuracy alone is non-diagnostic: politi",http://arxiv.org/abs/2603.18280v3
A Percolation based M2M Networking Architecture for Data Transmission and Routing,Jihua Lu; Jianping An; Xiangming Li; Jie Yang; Lei Yang,2014,"We propose a percolation based M2M networking architecture and its data transmission method. The proposed network architecture can be server-free and router-free, which allows us to operate routing efficiently with percolations based on six degrees of separation theory in small world network modeling. The data transmission can be divided into two phases: routing and data transmission phases. In the routing phase, probe packets will be transmitted and forwarded in the network thus multiple paths ",http://arxiv.org/abs/1403.8123v2
Congestion-aware routing and content placement in elastic cache networks,Jinkun Zhang; Edmund Yeh,2023,"Caching can be leveraged to significantly improve network performance and mitigate congestion. However, characterizing the optimal tradeoff between routing cost and cache deployment cost remains an open problem. In this paper, for a network with arbitrary topology and congestion-dependent nonlinear cost functions, we aim to jointly determine the cache deployment, content placement, and hop-by-hop routing strategies, so that the sum of routing cost and cache deployment cost is minimized. We tackl",http://arxiv.org/abs/2303.01648v1
Adaptive Multi-Dimensional Coordinated Comprehensive Routing Scheme for IoV,Ruixing Ren; Minqi Tao; Junhui Zhao; Qiuping Li; Xiaoke Sun,2026,"The characteristics of high-speed node movement and dynamic topology changes pose great challenges to the design of internet of vehicles (IoV) routing protocols. Existing schemes suffer from common problems such as insufficient adaptability and lack of global consideration, making it difficult to achieve a globally optimal balance between routing reliability, real-time performance and transmission efficiency. This paper proposes an adaptive multi-dimensional coordinated comprehensive routing sch",http://arxiv.org/abs/2603.27939v1
Modality-Native Routing in Agent-to-Agent Networks: A Multimodal A2A Protocol Extension,Vasundra Srinivasan,2026,"Preserving multimodal signals across agent boundaries is necessary for accurate cross-modal reasoning, but it is not sufficient. We show that modality-native routing in Agent-to-Agent (A2A) networks improves task accuracy by 20 percentage points over text-bottleneck baselines, but only when the downstream reasoning agent can exploit the richer context that native routing preserves. An ablation replacing LLM-backed reasoning with keyword matching eliminates the accuracy gap entirely (36% vs. 36%)",http://arxiv.org/abs/2604.12213v1
Task-Conditioned Routing Signatures in Sparse Mixture-of-Experts Transformers,Mynampati Sri Ranganadha Avinash,2026,"Sparse Mixture-of-Experts (MoE) architectures enable efficient scaling of large language models through conditional computation, yet the routing mechanisms responsible for expert selection remain poorly understood. In this work, we introduce routing signatures, a vector representation summarizing expert activation patterns across layers for a given prompt, and use them to study whether MoE routing exhibits task-conditioned structure. Using OLMoE-1B-7B-0125-Instruct as an empirical testbed, we sh",http://arxiv.org/abs/2603.11114v1
Joint Beam Routing and Resource Allocation Optimization for Multi-IRS-Reflection Wireless Power Transfer,Weidong Mei; Zhi Chen; Rui Zhang,2023,"Intelligent reflecting surface (IRS) can be densely deployed in complex environments to create cascaded line-of-sight (LoS) links between base stations (BSs) and users, which significantly enhance the signal coverage. In this paper, we consider the wireless power transfer (WPT) from a multi-antenna BS to multiple energy users (EUs) by exploiting the signal beam routing via multi-IRS reflections. First, we present a baseline beam routing scheme with each IRS serving at most one EU, where the BS t",http://arxiv.org/abs/2307.08548v1
Fleet Size and Mix Split-Delivery Vehicle Routing,Arthur Mahéo; Tommaso Urli; Philip Kilby,2016,"In the classic Vehicle Routing Problem (VRP) a fleet of of vehicles has to visit a set of customers while minimising the operations' costs. We study a rich variant of the VRP featuring split deliveries, an heterogeneous fleet, and vehicle-commodity incompatibility constraints. Our goal is twofold: define the cheapest routing and the most adequate fleet.   To do so, we split the problem into two interdependent components: a fleet design component and a routing component. First, we define two Mixe",http://arxiv.org/abs/1612.01691v1
Multiparty Entanglement Routing in Quantum Networks,Vaisakh Mannalath; Anirban Pathak,2022,"Distributing entanglement among multiple users is a fundamental problem in quantum networks, requiring an efficient solution. In this work, a protocol is proposed for extracting maximally entangled (GHZn) states for any number of parties in quantum networks of arbitrary topology. It is based on the graph state formalism and requires minimal assumptions on the network state. The protocol only requires local measurements at the network nodes and just a single qubit memory per user. Existing protoc",http://arxiv.org/abs/2211.06690v1
Trusted Routing for Blockchain-Enabled Low-Altitude Intelligent Networks,Sijie He; Ziye Jia; Qiuming Zhu; Fuhui Zhou; Qihui Wu,2025,"Due to the scalability and portability, the low-altitude intelligent networks (LAINs) are essential in various fields such as surveillance and disaster rescue. However, in LAINs, unmanned aerial vehicles (UAVs) are characterized by the distributed topology and high dynamic mobility, and vulnerable to security threats, which may degrade the routing performance for data transmission. Hence, how to ensure the routing stability and security of LAINs is a challenge. In this paper, we focus on the rou",http://arxiv.org/abs/2506.22745v1
PSO-Optimized Hopfield Neural Network-Based Multipath Routing for Mobile Ad-hoc Networks,Mansour Sheikhan; Ehsan Hemmati,2017,"Mobile ad-hoc network (MANET) is a dynamic collection of mobile computers without the need for any existing infrastructure. Nodes in a MANET act as hosts and routers. Designing of robust routing algorithms for MANETs is a challenging task. Disjoint multipath routing protocols address this problem and increase the reliability, security and lifetime of network. However, selecting an optimal multipath is an NP-complete problem. In this paper, Hopfield neural network (HNN) which its parameters are o",http://arxiv.org/abs/1712.07019v1
Augmented Tree-based Routing Protocol for Scalable Ad Hoc Networks,Marcello Caleffi; Giancarlo Ferraiuolo; Luigi Paura,2007,"In ad hoc networks scalability is a critical requirement if these technologies have to reach their full potential. Most of the proposed routing protocols do not operate efficiently with networks of more than a few hundred nodes. In this paper, we propose an augmented tree-based address space structure and a hierarchical multi-path routing protocol, referred to as Augmented Tree-based Routing (ATR), which utilizes such a structure in order to solve the scalability problem and to gain good resilie",http://arxiv.org/abs/0711.3099v1
Hop-by-Hop Multipath Routing: Choosing the Right Nexthop Set,Klaus Schneider; Beichuan Zhang; Lotfi Benmohamed,2019,"The Internet can be made more efficient and robust with hop-by-hop multipath routing: Each router on the path can split packets between multiple nexthops in order to 1) avoid failed links and 2) reduce traffic on congested links. Before deciding how to split traffic, one first needs to decide which nexthops to allow at each step. In this paper, we investigate the requirements and trade-offs for making this choice.   Most related work chooses the viable nexthops by applying the ""Downward Criterio",http://arxiv.org/abs/1906.10266v1
Running in Circles: Packet Routing on Ring Networks,William F. Bradley,2014,"I analyze packet routing on unidirectional ring networks, with an eye towards establishing bounds on the expected length of the queues. Suppose we route packets by a greedy ""hot potato"" protocol. If packets are inserted by a Bernoulli process and have uniform destinations around the ring, and if the nominal load is kept fixed, then I can construct an upper bound on the expected queue length per node that is independent of the size of the ring. If the packets only travel one or two steps, I can c",http://arxiv.org/abs/1402.2963v1
Jointly Optimal Routing and Caching for Arbitrary Network Topologies,Stratis Ioannidis; Edmund Yeh,2017,"We study a problem of fundamental importance to ICNs, namely, minimizing routing costs by jointly optimizing caching and routing decisions over an arbitrary network topology. We consider both source routing and hop-by-hop routing settings. The respective offline problems are NP-hard. Nevertheless, we show that there exist polynomial time approximation algorithms producing solutions within a constant approximation from the optimal. We also produce distributed, adaptive algorithms with the same ap",http://arxiv.org/abs/1708.05999v1
Privacy-Preserving LLMs Routing,Xidong Wu; Yukuan Zhang; Yuqiong Ji; Reza Shirkavand; Qian Lou,2026,"Large language model (LLM) routing has emerged as a critical strategy to balance model performance and cost-efficiency by dynamically selecting services from various model providers. However, LLM routing adds an intermediate layer between users and LLMs, creating new privacy risks to user data. These privacy risks have not been systematically studied. Although cryptographic techniques such as Secure Multi-Party Computation (MPC) enable privacy-preserving computation, their protocol design and im",http://arxiv.org/abs/2604.15728v1
LLM Routing as Reasoning: A MaxSAT View,Son Nguyen; Xinyuan Liu; Ransalu Senanayake,2026,"Routing a query through an appropriate LLM is challenging, particularly when user preferences are expressed in natural language and model attributes are only partially observable. We propose a constraint-based interpretation of language-conditioned LLM routing, formulating it as a weighted MaxSAT/MaxSMT problem in which natural language feedback induces hard and soft constraints over model attributes. Under this view, routing corresponds to selecting models that approximately maximize satisfacti",http://arxiv.org/abs/2603.13612v1
RouterBench: A Benchmark for Multi-LLM Routing System,Qitian Jason Hu; Jacob Bieker; Xiuyu Li; Nan Jiang; Benjamin Keigwin,2024,"As the range of applications for Large Language Models (LLMs) continues to grow, the demand for effective serving solutions becomes increasingly critical. Despite the versatility of LLMs, no single model can optimally address all tasks and applications, particularly when balancing performance with cost. This limitation has led to the development of LLM routing systems, which combine the strengths of various models to overcome the constraints of individual LLMs. Yet, the absence of a standardized",http://arxiv.org/abs/2403.12031v2
ACAR: Adaptive Complexity Routing for Multi-Model Ensembles with Auditable Decision Traces,Ramchand Kumaresan,2026,"We present ACAR (Adaptive Complexity and Attribution Routing), a measurement framework for studying multi-model orchestration under auditable conditions. ACAR uses self-consistency variance (sigma) computed from N=3 probe samples to route tasks across single-model, two-model, and three-model execution modes. The system is implemented on top of TEAMLLM, a deterministic execution substrate with immutable artifacts and complete decision traces. We evaluate ACAR on 1,510 tasks spanning four benchmar",http://arxiv.org/abs/2602.21231v1
Routing in Wireless Networks with Interferences,Bogdan S. Chlebus; Vicent Cholvi; Pawel Garncarek; Tomasz Jurdzinski; Dariusz R. Kowalski,2018,"We consider dynamic routing in multi-hop wireless networks with adversarial traffic. The model of wireless communication incorporates interferences caused by packets' arrivals into the same node that overlap in time. We consider two classes of adversaries: balanced and unbalanced. We demonstrate that, for each routing algorithm and an unbalanced adversary, the algorithm is unstable against this adversary in some networks. We develop a routing algorithm that has bounded packet latency against eac",http://arxiv.org/abs/1808.02144v1
Reliable Multi-Path Routing Schemes for Real-Time Streaming,Emin Gabrielyan; Roger D. Hersch,2006,"In off-line streaming, packet level erasure resilient Forward Error Correction (FEC) codes rely on the unrestricted buffering time at the receiver. In real-time streaming, the extremely short playback buffering time makes FEC inefficient for protecting a single path communication against long link failures. It has been shown that one alternative path added to a single path route makes packet level FEC applicable even when the buffering time is limited. Further path diversity, however, increases ",http://arxiv.org/abs/cs/0611086v1
On the Random 1/2-Disk Routing Scheme in Wireless Ad Hoc Networks,Armin Banaei; Daren B. H. Cline; Costas N. Georghiades; Shuguang Cui,2011,"Random 1/2-disk routing in wireless ad-hoc networks is a localized geometric routing scheme in which each node chooses the next relay randomly among the nodes within its transmission range and in the general direction of the destination. We introduce a notion of convergence for geometric routing schemes that not only considers the feasibility of packet delivery through possibly multi-hop relaying, but also requires the packet delivery to occur in a finite number of hops. We derive sufficient con",http://arxiv.org/abs/1102.5739v2
Adaptive LLM Routing under Budget Constraints,Pranoy Panda; Raghav Magazine; Chaitanya Devaguptapu; Sho Takemori; Vishal Sharma,2025,"Large Language Models (LLMs) have revolutionized natural language processing, but their varying capabilities and costs pose challenges in practical applications. LLM routing addresses this by dynamically selecting the most suitable LLM for each query/task. Previous approaches treat this as a supervised learning problem, assuming complete knowledge of optimal query-LLM pairings. However, real-world scenarios lack such comprehensive mappings and face evolving user queries. We thus propose to study",http://arxiv.org/abs/2508.21141v2
Universal Model Routing for Efficient LLM Inference,Wittawat Jitkrittum; Harikrishna Narasimhan; Ankit Singh Rawat; Jeevesh Juneja; Congchao Wang,2025,"Model routing is a simple technique for reducing the inference cost of large language models (LLMs), wherein one maintains a pool of candidate LLMs, and learns to route each prompt to the smallest feasible LLM. Existing works focus on learning a router for a fixed pool of LLMs. In this paper, we consider the problem of dynamic routing, where new, previously unobserved LLMs are available at test time. We propose UniRoute, a new approach to this problem that relies on representing each LLM as a fe",http://arxiv.org/abs/2502.08773v2
Jointly Optimal Routing and Caching with Bounded Link Capacities,Yuanyuan Li; Yuchao Zhang; Stratis Ioannidis; Jon Crowcroft,2023,"We study a cache network in which intermediate nodes equipped with caches can serve requests. We model the problem of jointly optimizing caching and routing decisions with link capacity constraints over an arbitrary network topology. This problem can be formulated as a continuous diminishing-returns (DR) submodular maximization problem under multiple continuous DR-supermodular constraints, and is NP-hard. We propose a poly-time alternating primal-dual heuristic algorithm, in which primal steps p",http://arxiv.org/abs/2302.02508v1
A class of equivalent idle-time-order-based routing policies for heterogeneous multi-server systems,Sherwin Doroudi; Ragavendran Gopalakrishnan,2013,"We consider an M/M/N/K/FCFS system (N&gt;0, K&gt;=N), where the servers operate at (possibly) heterogeneous service rates. In this situation, the steady state behavior depends on the routing policy that is used to select which idle server serves the next job in queue. We define a class of idle-time-order-based policies (including, for example, Longest Idle Server First (LISF)) and show that all policies in this class result in the same steady state behavior. In particular, they are all equivalen",http://arxiv.org/abs/1305.6249v2
Solving the Joint Order Batching and Picker Routing Problem for Large Instances,Wei Hao Khoong,2020,"In this work, we investigate the problem of order batching and picker routing in warehouse storage areas. These problems are known to be capital and labour intensive, and often contribute to a sizable fraction of warehouse operating costs. Here, we consider the case of online grocery shopping where orders may consist of dozens of items.   We present the problem introduced and tackle the issue of solving the problem heuristically with proposed methods of solving that utilize batching and routing ",http://arxiv.org/abs/2002.00167v1
RouteJudge: An Open Platform for Reproducible and Preference-Aware LLM Routing,Guannan Lai; Haoran Hu; Han-Jia Ye,2026,"We present RouteJudge, an online pairwise preference evaluation framework for LLM routing systems, with a public platform available at https://routejudge.cn. Different from model-level response evaluation, RouteJudge focuses on router-level decision quality. For each user query, multiple routing strategies independently recommend candidate models under the same model pool and budget constraints. The selected model responses are then presented to users through anonymous pairwise comparisons, and ",http://arxiv.org/abs/2606.18774v2
Graph Reinforcement Learning for Calibration-Aware Quantum Circuit Routing,Yash Vardhan Tomar; Dheeraj Peddireddy,2026,Quantum circuit routing is a key step in compiling programs for noisy intermediate-scale quantum processors. Routes that appear efficient by standard overhead metrics can still lose fidelity when they pass through poorly calibrated couplers. We study a calibration-aware graph reinforcement-learning router that uses same-day IBM Heron r2 calibration data to choose hardware-edge SWAPs. We train the policy with proximal policy optimization and evaluate it with exact simulated fidelity across nine M,http://arxiv.org/abs/2606.12816v3
Leveraging Uncertainty Estimation for Efficient LLM Routing,Tuo Zhang; Asal Mehradfar; Dimitrios Dimitriadis; Salman Avestimehr,2025,"Deploying large language models (LLMs) in edge-cloud environments requires an efficient routing strategy to balance cost and response quality. Traditional approaches prioritize either human-preference data or accuracy metrics from benchmark datasets as routing criteria, but these methods suffer from rigidity and subjectivity. Moreover, existing routing frameworks primarily focus on accuracy and cost, neglecting response quality from a human preference perspective. In this work, we propose the Co",http://arxiv.org/abs/2502.11021v1
SEAR: Schema-Based Evaluation and Routing for LLM Gateways,Zecheng Zhang; Han Zheng; Yue Xu,2026,"Evaluating production LLM responses and routing requests across providers in LLM gateways requires fine-grained quality signals and operationally grounded decisions. To address this gap, we present SEAR, a schema-based evaluation and routing system for multi-model, multi-provider LLM gateways. SEAR defines an extensible relational schema covering both LLM evaluation signals (context, intent, response characteristics, issue attribution, and quality scores) and gateway operational metrics (latency",http://arxiv.org/abs/2603.26728v1
RouterEval: A Comprehensive Benchmark for Routing LLMs to Explore Model-level Scaling Up in LLMs,Zhongzhan Huang; Guoming Ling; Yupei Lin; Yandong Chen; Shanshan Zhong,2025,"Routing large language models (LLMs) is a new paradigm that uses a router to recommend the best LLM from a pool of candidates for a given input. In this paper, our comprehensive analysis with more than 8,500 LLMs reveals a novel model-level scaling up phenomenon in Routing LLMs, i.e., a capable router can significantly enhance the performance of this paradigm as the number of candidates increases. This improvement can even surpass the performance of the best single model in the pool and many exi",http://arxiv.org/abs/2503.10657v2
Reward-Based Online LLM Routing via NeuralUCB,Ming-Hua Tsai; Phat Tran,2026,"This study investigates the use of NeuralUCB for cost-aware large language model (LLM) routing. Existing routing approaches can be broadly grouped into supervised routing methods and partial-feedback methods, each with different tradeoffs in efficiency and adaptivity. We implement a NeuralUCB-based routing policy and evaluate it on RouterBench under a simulated online setting. Experimental results show that the proposed method consistently outperforms random and min-cost baselines in utility rew",http://arxiv.org/abs/2603.30035v1
